,Rank,Player 1,Player 2,Stage,Winner
1222,master-master,Ganondorf,Dr. Mario,Dream Land,Player 1
1223,master-master,Fox,Sheik,Fountain of Dreams,Player 1
1224,platinum-diamond,Marth,Captain Falcon,Final Destination,Player 2
1225,master-platinum,Fox,Sheik,Dream Land,Player 2
1226,diamond-diamond,Jigglypuff,Marth,Final Destination,Player 1
1227,master-platinum,Captain Falcon,Fox,Battlefield,Player 2
1228,master-diamond,Fox,Sheik,Final Destination,Player 1
1229,master-master,Yoshi,Sheik,Final Destination,Player 2
1230,platinum-platinum,Falco,Ganondorf,Fountain of Dreams,Player 1
1231,master-master,Young Link,Pikachu,Pokémon Stadium,Player 1
1232,master-master,Sheik,Sheik,Final Destination,Player 1
1233,master-diamond,Pikachu,Captain Falcon,Final Destination,Player 2
1234,diamond-diamond,Mr. Game & Watch,Marth,Battlefield,Player 1
1235,master-master,Falco,Sheik,Dream Land,Player 2
1236,master-platinum,Falco,Sheik,Fountain of Dreams,Player 1
1237,master-master,Sheik,Falco,Yoshi’s Story,Player 2
1238,platinum-diamond,Peach,Fox,Final Destination,Player 1
1239,platinum-platinum,Falco,Peach,Fountain of Dreams,Player 2
1240,master-diamond,Fox,Jigglypuff,Pokémon Stadium,Player 1
1241,master-diamond,Fox,Samus,Yoshi’s Story,Player 1
1242,master-diamond,Captain Falcon,Mewtwo,Yoshi’s Story,Player 1
1243,platinum-platinum,Falco,Samus,Final Destination,Player 2
1244,master-master,Fox,Samus,Fountain of Dreams,Player 1
1245,master-diamond,Fox,Fox,Pokémon Stadium,Player 1
1246,diamond-diamond,Samus,Falco,Fountain of Dreams,Player 1
1247,diamond-diamond,Ice Climbers,Marth,Battlefield,Player 2
1248,platinum-platinum,Yoshi,Samus,Final Destination,Player 1
1249,diamond-diamond,Falco,Falco,Yoshi’s Story,Player 1
1250,master-diamond,Fox,Luigi,Fountain of Dreams,Player 2
1251,master-diamond,Marth,Fox,Final Destination,Player 1
1252,master-diamond,Marth,Mewtwo,Dream Land,Player 1
1253,diamond-diamond,Fox,Fox,Yoshi’s Story,Player 1
1254,master-diamond,Marth,Falco,Final Destination,Player 2
1255,master-platinum,Fox,Jigglypuff,Pokémon Stadium,Player 2
1256,platinum-platinum,Fox,Luigi,Final Destination,Player 1
1257,master-diamond,Sheik,Mewtwo,Pokémon Stadium,Player 1
1258,master-diamond,Sheik,Peach,Battlefield,Player 1
1259,platinum-platinum,Sheik,Fox,Fountain of Dreams,Player 2
1260,platinum-diamond,Young Link,Falco,Pokémon Stadium,Player 2
1261,master-master,Falco,Fox,Dream Land,Player 1
1262,master-diamond,Marth,Marth,Pokémon Stadium,Player 2
1263,diamond-diamond,Fox,Fox,Fountain of Dreams,Player 2
1264,diamond-diamond,Fox,Jigglypuff,Pokémon Stadium,Player 1
1265,diamond-diamond,Fox,Kirby,Final Destination,Player 2
1266,master-diamond,Samus,Mr. Game & Watch,Pokémon Stadium,Player 1
1267,master-master,Fox,Fox,Dream Land,Player 1
1268,master-diamond,Jigglypuff,Fox,Final Destination,Player 1
1269,master-diamond,Sheik,Fox,Pokémon Stadium,Player 1
1270,diamond-diamond,Falco,Falco,Final Destination,Player 1
1271,master-diamond,Marth,Ness,Battlefield,Player 1
1272,master-diamond,Fox,Jigglypuff,Yoshi’s Story,Player 2
1273,platinum-diamond,Marth,Captain Falcon,Pokémon Stadium,Player 2
1274,master-diamond,Jigglypuff,Falco,Final Destination,Player 1
1275,diamond-diamond,Luigi,Fox,Fountain of Dreams,Player 2
1276,diamond-diamond,Falco,Falco,Yoshi’s Story,Player 2
1277,platinum-platinum,Peach,Captain Falcon,Pokémon Stadium,Player 2
1278,master-master,Falco,Fox,Pokémon Stadium,Player 1
1279,master-platinum,Falco,Marth,Yoshi’s Story,Player 1
1280,platinum-diamond,Luigi,Mario,Dream Land,Player 1
1281,master-diamond,Pikachu,Fox,Fountain of Dreams,Player 1
1282,master-platinum,Marth,Falco,Final Destination,Player 1
1283,master-platinum,Falco,Fox,Final Destination,Player 2
1284,platinum-diamond,Falco,Marth,Pokémon Stadium,Player 2
1285,master-platinum,Samus,Jigglypuff,Final Destination,Player 1
1286,platinum-platinum,Fox,Fox,Yoshi’s Story,Player 1
1287,platinum-diamond,Jigglypuff,Captain Falcon,Battlefield,Player 2
1288,diamond-diamond,Pikachu,Peach,Dream Land,Player 2
1289,master-diamond,Sheik,Fox,Yoshi’s Story,Player 2
1290,master-master,Link,Falco,Pokémon Stadium,Player 1
1291,master-diamond,Captain Falcon,Sheik,Final Destination,Player 1
1292,master-platinum,Fox,Falco,Yoshi’s Story,Player 2
1293,master-diamond,Falco,Mewtwo,Final Destination,Player 2
1294,platinum-platinum,Peach,Sheik,Dream Land,Player 1
1295,master-platinum,Captain Falcon,Fox,Yoshi’s Story,Player 2
1296,diamond-diamond,Link,Marth,Fountain of Dreams,Player 2
1297,master-diamond,Falco,Jigglypuff,Fountain of Dreams,Player 2
1298,master-master,Samus,Captain Falcon,Pokémon Stadium,Player 1
1299,master-platinum,Fox,Falco,Final Destination,Player 2
1300,platinum-diamond,Luigi,Captain Falcon,Pokémon Stadium,Player 2
1301,platinum-diamond,Marth,Fox,Final Destination,Player 2
1302,master-platinum,Falco,Fox,Yoshi’s Story,Player 1
1303,master-master,Yoshi,Fox,Yoshi’s Story,Player 2
1304,platinum-platinum,Roy,Falco,Pokémon Stadium,Player 1
1305,diamond-diamond,Jigglypuff,Sheik,Final Destination,Player 1
1306,master-diamond,Falco,Fox,Fountain of Dreams,Player 1
1307,master-platinum,Captain Falcon,Falco,Dream Land,Player 1
1308,platinum-platinum,Link,Falco,Fountain of Dreams,Player 1
1309,master-platinum,Falco,Captain Falcon,Pokémon Stadium,Player 1
1310,master-diamond,Falco,Fox,Yoshi’s Story,Player 1
1311,diamond-diamond,Falco,Peach,Final Destination,Player 1
1312,diamond-diamond,Samus,Peach,Fountain of Dreams,Player 2
1313,master-platinum,Ice Climbers,Falco,Fountain of Dreams,Player 1
1314,master-diamond,Marth,Fox,Final Destination,Player 1
1315,diamond-diamond,Sheik,Falco,Yoshi’s Story,Player 2
1316,diamond-diamond,Marth,Sheik,Fountain of Dreams,Player 2
1317,platinum-platinum,Fox,Sheik,Yoshi’s Story,Player 2
1318,master-platinum,Fox,Marth,Yoshi’s Story,Player 1
1319,diamond-diamond,Fox,Falco,Yoshi’s Story,Player 2
1320,master-platinum,Captain Falcon,Captain Falcon,Final Destination,Player 1
1321,master-master,Falco,Marth,Pokémon Stadium,Player 2
1322,platinum-platinum,Falco,Peach,Final Destination,Player 2
1323,master-platinum,Falco,Fox,Yoshi’s Story,Player 2
1324,master-diamond,Fox,Falco,Yoshi’s Story,Player 2
1325,master-master,Ice Climbers,Pikachu,Fountain of Dreams,Player 1
1326,diamond-diamond,Fox,Jigglypuff,Final Destination,Player 1
1327,master-diamond,Sheik,Falco,Yoshi’s Story,Player 2
1328,diamond-diamond,Mr. Game & Watch,Mario,Final Destination,Player 1
1329,platinum-diamond,Luigi,Falco,Final Destination,Player 2
1330,master-master,Fox,Marth,Dream Land,Player 1
1331,diamond-diamond,Marth,Fox,Final Destination,Player 1
1332,master-master,Sheik,Fox,Pokémon Stadium,Player 1
1333,master-platinum,Ganondorf,Jigglypuff,Yoshi’s Story,Player 2
1334,diamond-diamond,Falco,Samus,Final Destination,Player 1
1335,diamond-diamond,Falco,Falco,Final Destination,Player 1
1336,platinum-diamond,Mario,Sheik,Yoshi’s Story,Player 2
1337,diamond-diamond,Marth,Fox,Final Destination,Player 2
1338,master-diamond,Fox,Marth,Fountain of Dreams,Player 1
1339,platinum-diamond,Samus,Falco,Yoshi’s Story,Player 1
1340,platinum-platinum,Peach,Falco,Pokémon Stadium,Player 2
1341,master-diamond,Fox,Link,Yoshi’s Story,Player 1
1342,master-diamond,Peach,Fox,Final Destination,Player 1
1343,platinum-platinum,Fox,Samus,Final Destination,Player 2
1344,diamond-diamond,Ice Climbers,Luigi,Battlefield,Player 1
1345,master-master,Fox,Fox,Pokémon Stadium,Player 1
1346,master-master,Fox,Captain Falcon,Pokémon Stadium,Player 2
1347,master-diamond,Marth,Ice Climbers,Final Destination,Player 1
1348,platinum-platinum,Jigglypuff,Falco,Pokémon Stadium,Player 1
1349,master-diamond,Falco,Sheik,Final Destination,Player 2
1350,platinum-platinum,Falco,Peach,Pokémon Stadium,Player 1
1351,master-platinum,Marth,Samus,Fountain of Dreams,Player 1
1352,diamond-diamond,Ice Climbers,Fox,Dream Land,Player 1
1353,master-diamond,Fox,Falco,Yoshi’s Story,Player 2
1354,master-master,Jigglypuff,Falco,Pokémon Stadium,Player 2
1355,platinum-diamond,Marth,Dr. Mario,Final Destination,Player 1
1356,platinum-platinum,Falco,Captain Falcon,Pokémon Stadium,Player 2
1357,diamond-diamond,Fox,Fox,Final Destination,Player 2
1358,master-master,Marth,Luigi,Fountain of Dreams,Player 2
1359,diamond-diamond,Falco,Fox,Yoshi’s Story,Player 2
1360,master-diamond,Fox,Bowser,Final Destination,Player 1
1361,diamond-diamond,Falco,Marth,Final Destination,Player 2
1362,master-diamond,Pikachu,Ganondorf,Final Destination,Player 1
1363,platinum-diamond,Fox,Sheik,Dream Land,Player 2
1364,master-master,Captain Falcon,Fox,Final Destination,Player 1
1365,master-diamond,Falco,Falco,Yoshi’s Story,Player 1
1366,diamond-diamond,Jigglypuff,Samus,Final Destination,Player 2
1367,diamond-diamond,Ganondorf,Falco,Yoshi’s Story,Player 1
1368,master-diamond,Mewtwo,Captain Falcon,Final Destination,Player 2
1369,platinum-diamond,Link,Fox,Pokémon Stadium,Player 2
1370,platinum-platinum,Peach,Falco,Final Destination,Player 2
1371,master-diamond,Jigglypuff,Falco,Fountain of Dreams,Player 1
1372,master-diamond,Falco,Link,Final Destination,Player 2
1373,master-master,Fox,Yoshi,Pokémon Stadium,Player 1
1374,platinum-diamond,Marth,Marth,Final Destination,Player 1
1375,master-master,Falco,Fox,Yoshi’s Story,Player 2
1376,diamond-diamond,Samus,Peach,Yoshi’s Story,Player 1
1377,master-master,Marth,Fox,Fountain of Dreams,Player 2
1378,platinum-diamond,Peach,Marth,Fountain of Dreams,Player 1
1379,diamond-diamond,Jigglypuff,Peach,Final Destination,Player 2
1380,platinum-platinum,Luigi,Fox,Pokémon Stadium,Player 1
1381,platinum-platinum,Sheik,Fox,Final Destination,Player 2
1382,diamond-diamond,Falco,Captain Falcon,Dream Land,Player 1
1383,diamond-diamond,Captain Falcon,Marth,Final Destination,Player 1
1384,platinum-platinum,Peach,Fox,Battlefield,Player 2
1385,diamond-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 2
1386,diamond-diamond,Fox,Mewtwo,Dream Land,Player 1
1387,master-diamond,Samus,Falco,Pokémon Stadium,Player 1
1388,master-diamond,Captain Falcon,Dr. Mario,Final Destination,Player 1
1389,diamond-diamond,Ganondorf,Fox,Pokémon Stadium,Player 2
1390,master-diamond,Fox,Pikachu,Fountain of Dreams,Player 2
1391,master-platinum,Marth,Jigglypuff,Battlefield,Player 1
1392,diamond-diamond,Samus,Falco,Final Destination,Player 1
1393,master-diamond,Samus,Fox,Dream Land,Player 1
1394,master-diamond,Sheik,Fox,Pokémon Stadium,Player 1
1395,diamond-diamond,Fox,Fox,Yoshi’s Story,Player 2
1396,master-platinum,Marth,Marth,Final Destination,Player 2
1397,platinum-platinum,Ice Climbers,Falco,Dream Land,Player 1
1398,platinum-diamond,Falco,Samus,Yoshi’s Story,Player 2
1399,master-platinum,Falco,Sheik,Fountain of Dreams,Player 1
1400,platinum-platinum,Samus,Dr. Mario,Battlefield,Player 2
1401,master-master,Fox,Fox,Pokémon Stadium,Player 2
1402,master-platinum,Falco,Sheik,Pokémon Stadium,Player 1
1403,platinum-platinum,Fox,Captain Falcon,Pokémon Stadium,Player 1
1404,diamond-diamond,Fox,Sheik,Dream Land,Player 2
1405,master-diamond,Captain Falcon,Fox,Pokémon Stadium,Player 2
1406,platinum-diamond,Captain Falcon,Jigglypuff,Yoshi’s Story,Player 2
1407,diamond-diamond,Jigglypuff,Fox,Final Destination,Player 1
1408,master-diamond,Samus,Falco,Final Destination,Player 1
1409,master-platinum,Peach,Sheik,Fountain of Dreams,Player 1
1410,master-master,Falco,Jigglypuff,Final Destination,Player 1
1411,platinum-diamond,Fox,Sheik,Final Destination,Player 2
1412,master-master,Falco,Fox,Final Destination,Player 1
1413,diamond-diamond,Fox,Ganondorf,Final Destination,Player 2
1414,platinum-diamond,Falco,Mario,Yoshi’s Story,Player 1
1415,master-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 2
1416,master-diamond,Jigglypuff,Falco,Yoshi’s Story,Player 1
1417,diamond-diamond,Falco,Link,Yoshi’s Story,Player 1
1418,diamond-diamond,Captain Falcon,Fox,Dream Land,Player 2
1419,master-diamond,Falco,Sheik,Final Destination,Player 2
1420,platinum-platinum,Marth,Fox,Fountain of Dreams,Player 1
1421,master-diamond,Peach,Pikachu,Battlefield,Player 1
1422,master-master,Falco,Pikachu,Final Destination,Player 2
1423,master-platinum,Sheik,Peach,Final Destination,Player 1
1424,master-master,Peach,Captain Falcon,Yoshi’s Story,Player 2
1425,diamond-diamond,Ice Climbers,Fox,Pokémon Stadium,Player 2
1426,diamond-diamond,Fox,Marth,Pokémon Stadium,Player 2
1427,platinum-platinum,Captain Falcon,Fox,Final Destination,Player 2
1428,platinum-diamond,Jigglypuff,Falco,Fountain of Dreams,Player 2
1429,master-platinum,Peach,Yoshi,Final Destination,Player 2
1430,platinum-platinum,Sheik,Marth,Dream Land,Player 1
1431,diamond-diamond,Mr. Game & Watch,Fox,Final Destination,Player 1
1432,diamond-diamond,Marth,Falco,Final Destination,Player 1
1433,master-platinum,Fox,Falco,Pokémon Stadium,Player 1
1434,platinum-diamond,Sheik,Dr. Mario,Fountain of Dreams,Player 2
1435,master-diamond,Marth,Jigglypuff,Battlefield,Player 1
1436,platinum-diamond,Fox,Captain Falcon,Final Destination,Player 2
1437,platinum-diamond,Falco,Marth,Pokémon Stadium,Player 1
1438,master-master,Falco,Marth,Pokémon Stadium,Player 2
1439,platinum-platinum,Falco,Marth,Battlefield,Player 1
1440,master-platinum,Mr. Game & Watch,Peach,Yoshi’s Story,Player 1
1441,master-master,Sheik,Marth,Battlefield,Player 1
1442,master-diamond,Yoshi,Peach,Dream Land,Player 1
1443,platinum-diamond,Falco,Fox,Final Destination,Player 1
1444,master-master,Marth,Yoshi,Final Destination,Player 2
1445,platinum-platinum,Fox,Captain Falcon,Dream Land,Player 1
1446,master-diamond,Samus,Sheik,Battlefield,Player 1
1447,diamond-diamond,Fox,Peach,Final Destination,Player 2
1448,master-diamond,Ganondorf,Falco,Final Destination,Player 2
1449,diamond-diamond,Fox,Samus,Pokémon Stadium,Player 1
1450,master-platinum,Fox,Pikachu,Yoshi’s Story,Player 2
1451,platinum-diamond,Jigglypuff,Marth,Yoshi’s Story,Player 2
1452,platinum-platinum,Falco,Marth,Pokémon Stadium,Player 1
1453,platinum-platinum,Peach,Fox,Final Destination,Player 1
1454,platinum-diamond,Dr. Mario,Jigglypuff,Yoshi’s Story,Player 2
1455,master-platinum,Marth,Pikachu,Yoshi’s Story,Player 2
1456,platinum-platinum,Falco,Marth,Pokémon Stadium,Player 2
1457,master-diamond,Fox,Dr. Mario,Battlefield,Player 2
1458,platinum-platinum,Sheik,Sheik,Final Destination,Player 2
1459,diamond-diamond,Falco,Falco,Yoshi’s Story,Player 2
1460,platinum-platinum,Captain Falcon,Falco,Final Destination,Player 2
1461,diamond-diamond,Sheik,Fox,Final Destination,Player 1
1462,master-diamond,Fox,Sheik,Pokémon Stadium,Player 2
1463,master-diamond,Yoshi,Jigglypuff,Final Destination,Player 2
1464,platinum-platinum,Fox,Fox,Final Destination,Player 2
1465,master-platinum,Peach,Captain Falcon,Fountain of Dreams,Player 1
1466,diamond-diamond,Jigglypuff,Marth,Battlefield,Player 2
1467,platinum-diamond,Falco,Falco,Final Destination,Player 1
1468,master-platinum,Fox,Falco,Fountain of Dreams,Player 2
1469,platinum-diamond,Fox,Falco,Yoshi’s Story,Player 2
1470,master-platinum,Falco,Jigglypuff,Final Destination,Player 2
1471,platinum-platinum,Luigi,Fox,Battlefield,Player 1
1472,master-diamond,Pikachu,Luigi,Pokémon Stadium,Player 1
1473,diamond-diamond,Fox,Captain Falcon,Final Destination,Player 2
1474,master-platinum,Fox,Fox,Dream Land,Player 1
1475,master-master,Fox,Sheik,Dream Land,Player 2
1476,platinum-platinum,Sheik,Yoshi,Fountain of Dreams,Player 1
1477,platinum-diamond,Falco,Sheik,Final Destination,Player 2
1478,master-diamond,Fox,Falco,Final Destination,Player 2
1479,diamond-diamond,Ganondorf,Donkey Kong,Battlefield,Player 2
1480,master-master,Peach,Fox,Battlefield,Player 2
1481,platinum-platinum,Falco,Marth,Pokémon Stadium,Player 2
1482,master-platinum,Fox,Falco,Final Destination,Player 2
1483,platinum-platinum,Peach,Jigglypuff,Yoshi’s Story,Player 2
1484,master-diamond,Dr. Mario,Falco,Yoshi’s Story,Player 1
1485,diamond-diamond,Ice Climbers,Fox,Pokémon Stadium,Player 1
1486,diamond-diamond,Samus,Captain Falcon,Pokémon Stadium,Player 1
1487,diamond-diamond,Young Link,Falco,Pokémon Stadium,Player 1
1488,master-diamond,Donkey Kong,Mario,Yoshi’s Story,Player 1
1489,master-platinum,Jigglypuff,Sheik,Fountain of Dreams,Player 1
1490,diamond-diamond,Falco,Fox,Final Destination,Player 1
1491,master-platinum,Fox,Pikachu,Final Destination,Player 2
1492,diamond-diamond,Sheik,Falco,Pokémon Stadium,Player 2
1493,diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
1494,master-platinum,Yoshi,Fox,Yoshi’s Story,Player 1
1495,diamond-diamond,Falco,Fox,Yoshi’s Story,Player 2
1496,diamond-diamond,Peach,Falco,Final Destination,Player 2
1497,platinum-platinum,Yoshi,Luigi,Final Destination,Player 2
1498,platinum-platinum,Marth,Ice Climbers,Final Destination,Player 2
1499,master-diamond,Yoshi,Pikachu,Final Destination,Player 2
1500,diamond-diamond,Jigglypuff,Ness,Yoshi’s Story,Player 1
1501,master-diamond,Peach,Ness,Yoshi’s Story,Player 2
1502,diamond-diamond,Link,Marth,Final Destination,Player 2
1503,master-platinum,Sheik,Marth,Yoshi’s Story,Player 1
1504,platinum-diamond,Mr. Game & Watch,Yoshi,Pokémon Stadium,Player 1
1505,platinum-platinum,Falco,Falco,Yoshi’s Story,Player 2
1506,diamond-diamond,Marth,Fox,Pokémon Stadium,Player 1
1507,master-diamond,Captain Falcon,Captain Falcon,Pokémon Stadium,Player 1
1508,platinum-diamond,Marth,Mewtwo,Fountain of Dreams,Player 1
1509,master-diamond,Fox,Marth,Yoshi’s Story,Player 1
1510,diamond-diamond,Captain Falcon,Falco,Final Destination,Player 2
1511,platinum-platinum,Link,Fox,Final Destination,Player 2
1512,master-master,Sheik,Fox,Dream Land,Player 2
1513,platinum-platinum,Falco,Marth,Fountain of Dreams,Player 1
1514,master-master,Jigglypuff,Fox,Fountain of Dreams,Player 1
1515,master-diamond,Marth,Falco,Final Destination,Player 1
1516,master-platinum,Marth,Jigglypuff,Yoshi’s Story,Player 1
1517,platinum-platinum,Falco,Marth,Final Destination,Player 1
1518,platinum-platinum,Marth,Marth,Pokémon Stadium,Player 2
1519,platinum-platinum,Ganondorf,Falco,Final Destination,Player 2
1520,diamond-diamond,Sheik,Falco,Final Destination,Player 1
1521,master-diamond,Marth,Captain Falcon,Final Destination,Player 1
1522,master-platinum,Captain Falcon,Samus,Fountain of Dreams,Player 1
1523,master-diamond,Yoshi,Fox,Final Destination,Player 1
1524,master-platinum,Fox,Dr. Mario,Yoshi’s Story,Player 2
1525,master-master,Sheik,Peach,Fountain of Dreams,Player 2
1526,platinum-platinum,Luigi,Marth,Fountain of Dreams,Player 1
1527,platinum-diamond,Falco,Marth,Pokémon Stadium,Player 2
1528,master-diamond,Fox,Fox,Yoshi’s Story,Player 1
1529,master-diamond,Marth,Falco,Yoshi’s Story,Player 1
1530,master-platinum,Marth,Sheik,Final Destination,Player 2
1531,master-master,Ice Climbers,Ganondorf,Battlefield,Player 1
1532,diamond-diamond,Mr. Game & Watch,Fox,Yoshi’s Story,Player 2
1533,master-master,Peach,Yoshi,Fountain of Dreams,Player 2
1534,master-master,Falco,Falco,Yoshi’s Story,Player 1
1535,master-diamond,Marth,Falco,Final Destination,Player 1
1536,master-diamond,Fox,Ness,Final Destination,Player 1
1537,diamond-diamond,Falco,Ganondorf,Yoshi’s Story,Player 2
1538,platinum-platinum,Mario,Fox,Final Destination,Player 2
