Rank,Player 1,Player 2,Stage,Winner
diamond-diamond,Fox,Sheik,Battlefield,Player 1
diamond-diamond,Fox,Ness,Final Destination,Player 2
diamond-diamond,Falco,Fox,Pokémon Stadium,Player 1
master-platinum,Samus,Jigglypuff,Final Destination,Player 1
master-platinum,Fox,Samus,Battlefield,Player 2
master-platinum,Fox,Fox,Final Destination,Player 1
master-platinum,Ganondorf,Luigi,Dream Land,Player 2
master-platinum,Marth,Samus,Battlefield,Player 2
master-platinum,Fox,Captain Falcon,Pokémon Stadium,Player 1
master-platinum,Fox,Captain Falcon,Yoshi’s Story,Player 1
master-platinum,Fox,Sheik,Final Destination,Player 1
master-platinum,Samus,Captain Falcon,Battlefield,Player 2
master-platinum,Fox,Falco,Pokémon Stadium,Player 1
master-platinum,Marth,Samus,Final Destination,Player 2
master-platinum,Marth,Fox,Dream Land,Player 1
master-platinum,Ganondorf,Sheik,Final Destination,Player 1
master-platinum,Marth,Fox,Yoshi’s Story,Player 1
master-platinum,Ganondorf,Falco,Yoshi’s Story,Player 2
master-platinum,Marth,Fox,Pokémon Stadium,Player 2
master-platinum,Sheik,Fox,Yoshi’s Story,Player 2
master-platinum,Sheik,Jigglypuff,Battlefield,Player 2
master-platinum,Peach,Donkey Kong,Final Destination,Player 1
platinum-platinum,Jigglypuff,Marth,Fountain of Dreams,Player 2
platinum-platinum,Falco,Falco,Pokémon Stadium,Player 1
platinum-platinum,Marth,Captain Falcon,Pokémon Stadium,Player 2
platinum-platinum,Falco,Ganondorf,Pokémon Stadium,Player 2
platinum-platinum,Falco,Marth,Pokémon Stadium,Player 1
platinum-platinum,Sheik,Falco,Yoshi’s Story,Player 1
platinum-platinum,Fox,Marth,Fountain of Dreams,Player 1
platinum-platinum,Captain Falcon,Captain Falcon,Dream Land,Player 1
platinum-platinum,Captain Falcon,Peach,Battlefield,Player 1
platinum-platinum,Fox,Captain Falcon,Fountain of Dreams,Player 1
platinum-platinum,Captain Falcon,Samus,Pokémon Stadium,Player 2
platinum-platinum,Falco,Falco,Dream Land,Player 1
platinum-platinum,Falco,Falco,Fountain of Dreams,Player 1
platinum-platinum,Jigglypuff,Fox,Final Destination,Player 2
platinum-platinum,Mewtwo,Falco,Pokémon Stadium,Player 2
platinum-platinum,Link,Peach,Dream Land,Player 1
platinum-platinum,Fox,Fox,Final Destination,Player 2
platinum-platinum,Peach,Peach,Yoshi’s Story,Player 2
platinum-platinum,Fox,Marth,Battlefield,Player 1
platinum-platinum,Captain Falcon,Donkey Kong,Pokémon Stadium,Player 1
platinum-platinum,Marth,Ness,Pokémon Stadium,Player 2
platinum-platinum,Peach,Falco,Yoshi’s Story,Player 1
platinum-platinum,Captain Falcon,Dr. Mario,Dream Land,Player 1
platinum-platinum,Samus,Jigglypuff,Final Destination,Player 1
platinum-platinum,Fox,Falco,Fountain of Dreams,Player 1
platinum-platinum,Marth,Fox,Fountain of Dreams,Player 1
platinum-platinum,Luigi,Yoshi,Fountain of Dreams,Player 2
platinum-platinum,Sheik,Falco,Fountain of Dreams,Player 2
platinum-platinum,Marth,Fox,Yoshi’s Story,Player 1
platinum-platinum,Ganondorf,Falco,Final Destination,Player 2
platinum-platinum,Falco,Marth,Fountain of Dreams,Player 1
platinum-platinum,Falco,Samus,Yoshi’s Story,Player 1
platinum-platinum,Ice Climbers,Falco,Pokémon Stadium,Player 2
platinum-platinum,Fox,Falco,Final Destination,Player 1
platinum-platinum,Peach,Falco,Yoshi’s Story,Player 1
platinum-platinum,Falco,Roy,Pokémon Stadium,Player 2
platinum-platinum,Falco,Falco,Yoshi’s Story,Player 2
platinum-platinum,Pikachu,Fox,Battlefield,Player 2
platinum-platinum,Ice Climbers,Falco,Dream Land,Player 1
platinum-platinum,Captain Falcon,Fox,Pokémon Stadium,Player 2
platinum-platinum,Fox,Luigi,Battlefield,Player 1
platinum-platinum,Ganondorf,Luigi,Battlefield,Player 2
platinum-platinum,Jigglypuff,Peach,Fountain of Dreams,Player 1
platinum-platinum,Fox,Jigglypuff,Fountain of Dreams,Player 1
platinum-platinum,Peach,Sheik,Pokémon Stadium,Player 1
platinum-platinum,Fox,Fox,Final Destination,Player 2
platinum-platinum,Fox,Luigi,Final Destination,Player 2
platinum-platinum,Samus,Peach,Battlefield,Player 1
platinum-platinum,Captain Falcon,Captain Falcon,Pokémon Stadium,Player 1
platinum-platinum,Jigglypuff,Fox,Final Destination,Player 1
platinum-platinum,Mario,Marth,Pokémon Stadium,Player 2
platinum-platinum,Fox,Falco,Pokémon Stadium,Player 2
platinum-platinum,Fox,Marth,Yoshi’s Story,Player 2
platinum-platinum,Sheik,Fox,Dream Land,Player 1
platinum-platinum,Peach,Captain Falcon,Final Destination,Player 1
platinum-platinum,Fox,Jigglypuff,Dream Land,Player 1
platinum-platinum,Fox,Samus,Final Destination,Player 2
platinum-platinum,Fox,Jigglypuff,Yoshi’s Story,Player 1
platinum-platinum,Fox,Falco,Dream Land,Player 1
platinum-platinum,Fox,Falco,Final Destination,Player 1
platinum-platinum,Mario,Captain Falcon,Final Destination,Player 1
platinum-platinum,Captain Falcon,Falco,Pokémon Stadium,Player 1
platinum-platinum,Marth,Captain Falcon,Pokémon Stadium,Player 2
platinum-platinum,Marth,Captain Falcon,Yoshi’s Story,Player 1
platinum-platinum,Falco,Fox,Battlefield,Player 2
platinum-platinum,Captain Falcon,Young Link,Battlefield,Player 2
platinum-platinum,Fox,Marth,Fountain of Dreams,Player 1
platinum-platinum,Luigi,Sheik,Yoshi’s Story,Player 1
platinum-platinum,Falco,Ganondorf,Fountain of Dreams,Player 1
platinum-platinum,Falco,Sheik,Final Destination,Player 1
platinum-platinum,Fox,Falco,Pokémon Stadium,Player 2
platinum-platinum,Falco,Dr. Mario,Yoshi’s Story,Player 2
platinum-platinum,Link,Marth,Final Destination,Player 1
platinum-platinum,Fox,Marth,Final Destination,Player 2
platinum-platinum,Falco,Falco,Yoshi’s Story,Player 1
platinum-platinum,Fox,Peach,Pokémon Stadium,Player 2
platinum-platinum,Marth,Fox,Final Destination,Player 2
platinum-platinum,Fox,Captain Falcon,Final Destination,Player 2
platinum-platinum,Marth,Ganondorf,Fountain of Dreams,Player 1
platinum-platinum,Falco,Fox,Yoshi’s Story,Player 1
platinum-platinum,Marth,Samus,Yoshi’s Story,Player 1
platinum-platinum,Fox,Falco,Pokémon Stadium,Player 2
platinum-platinum,Fox,Peach,Fountain of Dreams,Player 2
platinum-platinum,Falco,Falco,Pokémon Stadium,Player 1
platinum-platinum,Falco,Samus,Final Destination,Player 2
platinum-platinum,Captain Falcon,Captain Falcon,Dream Land,Player 1
platinum-platinum,Captain Falcon,Marth,Battlefield,Player 2
platinum-platinum,Peach,Falco,Final Destination,Player 2
platinum-platinum,Fox,Marth,Yoshi’s Story,Player 2
platinum-platinum,Fox,Peach,Final Destination,Player 1
platinum-platinum,Peach,Falco,Fountain of Dreams,Player 2
platinum-platinum,Falco,Fox,Final Destination,Player 2
platinum-platinum,Jigglypuff,Luigi,Final Destination,Player 2
platinum-platinum,Fox,Captain Falcon,Final Destination,Player 1
platinum-platinum,Falco,Jigglypuff,Final Destination,Player 2
platinum-platinum,Jigglypuff,Peach,Fountain of Dreams,Player 1
platinum-platinum,Sheik,Fox,Final Destination,Player 1
platinum-platinum,Captain Falcon,Marth,Final Destination,Player 1
platinum-platinum,Falco,Jigglypuff,Final Destination,Player 1
platinum-platinum,Ganondorf,Yoshi,Yoshi’s Story,Player 2
platinum-platinum,Peach,Falco,Pokémon Stadium,Player 2
platinum-platinum,Peach,Fox,Yoshi’s Story,Player 2
platinum-platinum,Mr. Game & Watch,Jigglypuff,Final Destination,Player 2
platinum-platinum,Sheik,Fox,Fountain of Dreams,Player 2
platinum-platinum,Captain Falcon,Fox,Yoshi’s Story,Player 1
platinum-platinum,Captain Falcon,Luigi,Final Destination,Player 1
platinum-platinum,Fox,Fox,Yoshi’s Story,Player 1
platinum-platinum,Peach,Sheik,Dream Land,Player 1
platinum-platinum,Captain Falcon,Marth,Pokémon Stadium,Player 2
platinum-platinum,Falco,Fox,Yoshi’s Story,Player 2
platinum-platinum,Fox,Marth,Fountain of Dreams,Player 1
platinum-platinum,Sheik,Roy,Yoshi’s Story,Player 1
platinum-platinum,Captain Falcon,Falco,Final Destination,Player 2
platinum-platinum,Peach,Dr. Mario,Fountain of Dreams,Player 2
platinum-platinum,Peach,Captain Falcon,Pokémon Stadium,Player 2
platinum-platinum,Dr. Mario,Falco,Yoshi’s Story,Player 1
platinum-platinum,Samus,Falco,Yoshi’s Story,Player 1
platinum-platinum,Captain Falcon,Marth,Final Destination,Player 1
platinum-platinum,Falco,Jigglypuff,Yoshi’s Story,Player 1
platinum-platinum,Falco,Falco,Final Destination,Player 2
platinum-platinum,Captain Falcon,Marth,Final Destination,Player 1
platinum-platinum,Marth,Roy,Dream Land,Player 2
platinum-platinum,Fox,Marth,Battlefield,Player 1
platinum-platinum,Ness,Jigglypuff,Final Destination,Player 2
platinum-platinum,Falco,Fox,Pokémon Stadium,Player 1
platinum-platinum,Jigglypuff,Falco,Pokémon Stadium,Player 1
diamond-diamond,Marth,Fox,Yoshi’s Story,Player 1
platinum-platinum,Fox,Samus,Final Destination,Player 2
diamond-diamond,Mr. Game & Watch,Falco,Pokémon Stadium,Player 1
platinum-platinum,Sheik,Falco,Dream Land,Player 2
platinum-platinum,Ice Climbers,Mewtwo,Battlefield,Player 2
platinum-platinum,Captain Falcon,Falco,Pokémon Stadium,Player 2
platinum-platinum,Peach,Fox,Final Destination,Player 2
platinum-platinum,Sheik,Peach,Battlefield,Player 1
platinum-platinum,Captain Falcon,Captain Falcon,Yoshi’s Story,Player 2
platinum-platinum,Marth,Marth,Final Destination,Player 1
platinum-platinum,Yoshi,Samus,Final Destination,Player 1
platinum-platinum,Falco,Peach,Battlefield,Player 2
platinum-platinum,Fox,Marth,Yoshi’s Story,Player 2
platinum-platinum,Falco,Falco,Final Destination,Player 2
platinum-platinum,Sheik,Marth,Dream Land,Player 1
diamond-diamond,Ness,Peach,Fountain of Dreams,Player 2
diamond-diamond,Young Link,Jigglypuff,Battlefield,Player 1
diamond-diamond,Fox,Jigglypuff,Yoshi’s Story,Player 1
diamond-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 1
diamond-diamond,Falco,Falco,Yoshi’s Story,Player 1
diamond-diamond,Fox,Fox,Yoshi’s Story,Player 1
diamond-diamond,Fox,Jigglypuff,Final Destination,Player 1
diamond-diamond,Fox,Falco,Yoshi’s Story,Player 2
diamond-diamond,Peach,Ness,Final Destination,Player 2
diamond-diamond,Ice Climbers,Samus,Yoshi’s Story,Player 2
diamond-diamond,Jigglypuff,Fox,Final Destination,Player 2
diamond-diamond,Fox,Dr. Mario,Final Destination,Player 1
diamond-diamond,Fox,Peach,Yoshi’s Story,Player 2
diamond-diamond,Samus,Sheik,Final Destination,Player 2
diamond-diamond,Samus,Mr. Game & Watch,Battlefield,Player 2
diamond-diamond,Dr. Mario,Mewtwo,Pokémon Stadium,Player 2
diamond-diamond,Fox,Falco,Yoshi’s Story,Player 1
diamond-diamond,Falco,Falco,Final Destination,Player 2
diamond-diamond,Falco,Falco,Yoshi’s Story,Player 1
diamond-diamond,Samus,Captain Falcon,Battlefield,Player 1
diamond-diamond,Falco,Jigglypuff,Yoshi’s Story,Player 1
diamond-diamond,Mario,Fox,Fountain of Dreams,Player 1
diamond-diamond,Luigi,Jigglypuff,Fountain of Dreams,Player 1
diamond-diamond,Peach,Fox,Battlefield,Player 2
diamond-diamond,Falco,Falco,Pokémon Stadium,Player 1
diamond-diamond,Ice Climbers,Falco,Fountain of Dreams,Player 2
diamond-diamond,Peach,Sheik,Final Destination,Player 1
diamond-diamond,Falco,Fox,Yoshi’s Story,Player 2
diamond-diamond,Fox,Peach,Dream Land,Player 2
diamond-diamond,Peach,Falco,Pokémon Stadium,Player 1
diamond-diamond,Captain Falcon,Fox,Battlefield,Player 1
diamond-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 2
diamond-diamond,Falco,Mewtwo,Yoshi’s Story,Player 2
diamond-diamond,Falco,Falco,Yoshi’s Story,Player 2
diamond-diamond,Falco,Fox,Final Destination,Player 2
diamond-diamond,Sheik,Fox,Final Destination,Player 1
diamond-diamond,Mr. Game & Watch,Peach,Battlefield,Player 2
diamond-diamond,Samus,Fox,Yoshi’s Story,Player 2
diamond-diamond,Sheik,Captain Falcon,Battlefield,Parità
diamond-diamond,Ness,Fox,Final Destination,Player 1
diamond-diamond,Fox,Luigi,Final Destination,Player 2
diamond-diamond,Samus,Falco,Fountain of Dreams,Player 2
diamond-diamond,Peach,Marth,Fountain of Dreams,Player 2
diamond-diamond,Falco,Ness,Pokémon Stadium,Player 1
diamond-diamond,Fox,Falco,Final Destination,Player 1
diamond-diamond,Falco,Samus,Yoshi’s Story,Player 2
diamond-diamond,Jigglypuff,Falco,Final Destination,Player 1
diamond-diamond,Captain Falcon,Marth,Yoshi’s Story,Player 1
diamond-diamond,Mewtwo,Fox,Pokémon Stadium,Player 2
diamond-diamond,Falco,Falco,Final Destination,Player 1
diamond-diamond,Falco,Ness,Dream Land,Player 1
diamond-diamond,Jigglypuff,Fox,Dream Land,Player 2
diamond-diamond,Fox,Falco,Yoshi’s Story,Player 1
diamond-diamond,Falco,Ice Climbers,Fountain of Dreams,Player 2
diamond-diamond,Mario,Falco,Yoshi’s Story,Player 2
diamond-diamond,Falco,Falco,Dream Land,Player 1
diamond-diamond,Marth,Fox,Pokémon Stadium,Player 2
diamond-diamond,Captain Falcon,Sheik,Pokémon Stadium,Player 2
diamond-diamond,Mewtwo,Dr. Mario,Final Destination,Player 2
diamond-diamond,Falco,Samus,Fountain of Dreams,Player 1
diamond-diamond,Captain Falcon,Peach,Final Destination,Player 2
diamond-diamond,Peach,Marth,Pokémon Stadium,Player 1
diamond-diamond,Falco,Samus,Final Destination,Player 1
diamond-diamond,Sheik,Falco,Fountain of Dreams,Player 1
diamond-diamond,Fox,Ganondorf,Battlefield,Player 1
diamond-diamond,Peach,Fox,Fountain of Dreams,Player 1
diamond-diamond,Sheik,Fox,Final Destination,Player 1
diamond-diamond,Fox,Fox,Final Destination,Player 2
diamond-diamond,Captain Falcon,Fox,Yoshi’s Story,Player 2
diamond-diamond,Falco,Falco,Pokémon Stadium,Player 1
diamond-diamond,Jigglypuff,Peach,Fountain of Dreams,Player 1
diamond-diamond,Falco,Ice Climbers,Yoshi’s Story,Player 2
diamond-diamond,Peach,Jigglypuff,Final Destination,Player 1
diamond-diamond,Sheik,Fox,Pokémon Stadium,Player 1
diamond-diamond,Falco,Falco,Final Destination,Player 2
diamond-diamond,Fox,Ganondorf,Final Destination,Player 1
diamond-diamond,Fox,Falco,Pokémon Stadium,Player 1
diamond-diamond,Falco,Marth,Final Destination,Player 2
diamond-diamond,Fox,Ness,Final Destination,Player 1
diamond-diamond,Marth,Ness,Yoshi’s Story,Player 2
diamond-diamond,Marth,Samus,Battlefield,Player 1
diamond-diamond,Captain Falcon,Jigglypuff,Pokémon Stadium,Player 1
diamond-diamond,Marth,Sheik,Fountain of Dreams,Player 2
diamond-diamond,Falco,Jigglypuff,Final Destination,Player 1
diamond-diamond,Sheik,Falco,Yoshi’s Story,Player 2
diamond-diamond,Falco,Falco,Pokémon Stadium,Player 1
diamond-diamond,Sheik,Falco,Final Destination,Player 2
diamond-diamond,Captain Falcon,Marth,Final Destination,Player 1
diamond-diamond,Jigglypuff,Bowser,Final Destination,Player 1
diamond-diamond,Fox,Ness,Battlefield,Player 1
diamond-diamond,Fox,Fox,Final Destination,Player 1
diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
diamond-diamond,Mewtwo,Fox,Pokémon Stadium,Player 1
diamond-diamond,Falco,Fox,Yoshi’s Story,Player 1
diamond-diamond,Mewtwo,Samus,Fountain of Dreams,Player 2
diamond-diamond,Marth,Marth,Yoshi’s Story,Player 2
diamond-diamond,Captain Falcon,Peach,Pokémon Stadium,Player 1
diamond-diamond,Falco,Falco,Final Destination,Player 2
diamond-diamond,Mr. Game & Watch,Fox,Yoshi’s Story,Player 1
diamond-diamond,Fox,Falco,Yoshi’s Story,Player 2
diamond-diamond,Jigglypuff,Falco,Final Destination,Player 1
diamond-diamond,Mario,Falco,Fountain of Dreams,Player 1
diamond-diamond,Luigi,Fox,Fountain of Dreams,Player 1
diamond-diamond,Fox,Fox,Dream Land,Player 1
diamond-diamond,Fox,Falco,Final Destination,Player 2
diamond-diamond,Sheik,Peach,Final Destination,Player 1
diamond-diamond,Fox,Ice Climbers,Pokémon Stadium,Player 1
diamond-diamond,Fox,Falco,Final Destination,Player 2
diamond-diamond,Luigi,Sheik,Pokémon Stadium,Player 2
diamond-diamond,Peach,Dr. Mario,Battlefield,Player 2
diamond-diamond,Falco,Captain Falcon,Dream Land,Player 1
diamond-diamond,Peach,Fox,Final Destination,Player 1
diamond-diamond,Falco,Jigglypuff,Yoshi’s Story,Player 2
diamond-diamond,Samus,Fox,Final Destination,Player 2
diamond-diamond,Sheik,Falco,Pokémon Stadium,Player 2
diamond-diamond,Falco,Falco,Yoshi’s Story,Player 2
diamond-diamond,Fox,Luigi,Final Destination,Player 1
diamond-diamond,Falco,Fox,Pokémon Stadium,Player 1
diamond-diamond,Fox,Peach,Dream Land,Player 2
diamond-diamond,Captain Falcon,Marth,Yoshi’s Story,Player 2
diamond-diamond,Jigglypuff,Samus,Final Destination,Player 2
diamond-diamond,Falco,Ganondorf,Yoshi’s Story,Player 2
diamond-diamond,Marth,Sheik,Final Destination,Player 2
diamond-diamond,Mr. Game & Watch,Fox,Fountain of Dreams,Player 1
diamond-diamond,Ganondorf,Donkey Kong,Battlefield,Player 2
diamond-diamond,Fox,Roy,Pokémon Stadium,Player 1
diamond-diamond,Falco,Captain Falcon,Pokémon Stadium,Player 1
diamond-diamond,Marth,Fox,Final Destination,Player 1
diamond-diamond,Fox,Fox,Yoshi’s Story,Player 1
diamond-diamond,Sheik,Fox,Dream Land,Player 1
diamond-diamond,Falco,Captain Falcon,Yoshi’s Story,Parità
diamond-diamond,Fox,Captain Falcon,Final Destination,Player 1
diamond-diamond,Falco,Marth,Final Destination,Player 2
diamond-diamond,Jigglypuff,Falco,Final Destination,Player 1
diamond-diamond,Fox,Fox,Yoshi’s Story,Player 1
diamond-diamond,Marth,Sheik,Final Destination,Player 2
diamond-diamond,Jigglypuff,Ice Climbers,Pokémon Stadium,Player 1
diamond-diamond,Ganondorf,Ice Climbers,Fountain of Dreams,Player 2
diamond-diamond,Peach,Sheik,Final Destination,Player 1
diamond-diamond,Marth,Mr. Game & Watch,Pokémon Stadium,Player 2
diamond-diamond,Link,Pikachu,Final Destination,Player 2
diamond-diamond,Falco,Fox,Yoshi’s Story,Player 1
diamond-diamond,Peach,Marth,Dream Land,Player 1
diamond-diamond,Fox,Link,Fountain of Dreams,Player 1
diamond-diamond,Fox,Captain Falcon,Final Destination,Player 2
diamond-diamond,Luigi,Jigglypuff,Pokémon Stadium,Player 1
diamond-diamond,Fox,Fox,Yoshi’s Story,Player 1
diamond-diamond,Falco,Falco,Final Destination,Player 2
diamond-diamond,Peach,Fox,Final Destination,Player 1
diamond-diamond,Samus,Mr. Game & Watch,Dream Land,Player 1
diamond-diamond,Marth,Fox,Dream Land,Player 2
diamond-diamond,Fox,Falco,Dream Land,Player 2
diamond-diamond,Fox,Yoshi,Yoshi’s Story,Player 2
diamond-diamond,Marth,Marth,Final Destination,Parità
diamond-diamond,Dr. Mario,Fox,Final Destination,Player 2
diamond-diamond,Marth,Marth,Fountain of Dreams,Player 2
diamond-diamond,Falco,Falco,Final Destination,Player 1
diamond-diamond,Falco,Falco,Yoshi’s Story,Player 1
diamond-diamond,Falco,Marth,Yoshi’s Story,Player 2
diamond-diamond,Marth,Fox,Final Destination,Parità
diamond-diamond,Captain Falcon,Captain Falcon,Dream Land,Player 2
diamond-diamond,Captain Falcon,Falco,Yoshi’s Story,Player 2
diamond-diamond,Marth,Fox,Yoshi’s Story,Parità
diamond-diamond,Ganondorf,Falco,Yoshi’s Story,Player 2
diamond-diamond,Fox,Peach,Battlefield,Player 2
diamond-diamond,Fox,Falco,Dream Land,Player 2
diamond-diamond,Falco,Fox,Pokémon Stadium,Player 1
diamond-diamond,Captain Falcon,Peach,Pokémon Stadium,Player 1
